participant_id	age	sex	age_group
sub-01	9	female	1
sub-02	9	female	1
sub-03	8	male	1
sub-04	10	male	1
sub-05	9	female	1
sub-06	10	male	1
sub-07	10	female	1
sub-08	9	female	1
sub-09	8	male	1
sub-10	8	male	1
sub-11	9	male	1
sub-12	9	female	1
sub-13	10	female	1
sub-14	10	female	1
sub-15	8	female	1
sub-16	10	female	1
sub-17	10	female	1
sub-18	10	male	1
sub-19	10	male	1
sub-20	9	female	1
sub-21	10	female	1
sub-22	10	male	1
sub-23	10	male	1
sub-24	8	male	1
sub-25	8	male	1
sub-26	9	female	1
sub-27	9	female	1
sub-28	8	male	1
sub-29	10	female	1
sub-30	10	male	1
sub-31	10	female	1
sub-32	10	female	1
sub-33	9	female	1
sub-34	14	female	2
sub-35	14	male	2
sub-36	14	female	2
sub-37	16	male	2
sub-38	14	male	2
sub-39	14	female	2
sub-40	16	female	2
sub-41	15	male	2
sub-42	15	male	2
sub-43	16	male	2
sub-44	14	female	2
sub-45	16	male	2
sub-46	14	male	2
sub-47	16	male	2
sub-48	16	female	2
sub-49	16	male	2
sub-50	14	male	2
sub-51	16	male	2
sub-52	16	male	2
sub-53	15	male	2
sub-54	15	female	2
sub-55	15	male	2
sub-56	14	male	2
sub-57	15	female	2
sub-58	16	female	2
sub-59	16	female	2
sub-60	13	male	2
sub-61	17	female	2
sub-62	16	male	2
sub-63	22	female	3
sub-64	25	female	3
sub-65	21	male	3
sub-66	20	male	3
sub-67	23	male	3
sub-68	26	male	3
sub-69	28	male	3
sub-70	21	female	3
sub-71	23	female	3
sub-72	22	female	3
sub-73	20	female	3
sub-74	24	female	3
sub-75	28	female	3
sub-76	24	male	3
sub-77	24	male	3
sub-78	20	male	3
sub-79	22	male	3
sub-80	28	male	3
sub-81	23	male	3
sub-82	28	male	3
sub-83	27	male	3
sub-84	26	male	3
sub-85	25	female	3
sub-86	20	male	3
sub-87	20	female	3
sub-88	25	male	3
sub-89	24	female	3
sub-90	26	male	3
sub-91	27	female	3
sub-92	28	female	3
sub-93	28	female	3
sub-94	28	female	3
sub-95	74	male	4
sub-96	68	male	4
sub-97	79	male	4
sub-98	66	male	4
sub-99	62	female	4
sub-100	69	male	4
sub-101	79	male	4
sub-102	78	male	4
sub-103	74	male	4
sub-104	73	male	4
sub-105	73	male	4
sub-106	74	male	4
sub-107	76	male	4
sub-108	70	male	4
sub-109	65	male	4
sub-110	73	male	4
sub-111	68	female	4
sub-112	70	male	4
sub-113	65	male	4
sub-114	76	male	4
sub-115	78	male	4
sub-116	71	male	4
sub-117	72	male	4
sub-118	71	male	4
sub-119	75	male	4
sub-120	80	male	4
sub-121	72	male	4
sub-122	77	male	4
sub-123	66	male	4
sub-124	66	female	4
sub-125	65	female	4
sub-126	69	female	4
sub-127	65	female	4
sub-128	65	male	4
sub-129	67	female	4
