subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond	ip	saw
74	4	1	275	150	240	0	0	25	0	main	22	30
74	4	0	213	266	240	0	0	25	0	main	22	30
74	4	0	211	244	240	0	0	25	0	main	22	30
74	4	0	250	237	240	0	0	25	1	main	22	30
74	4	0	88	237	148	1	1	25	0	main	22	30
74	4	0	138	237	148	0	0	25	0	main	22	30
74	4	0	159	138	148	0	0	25	0	main	22	30
74	4	0	148	139	148	0	1	25	0	main	22	30
74	4	0	175	139	148	0	1	25	0	main	22	30
74	4	0	165	146	148	0	1	25	1	main	22	30
74	4	0	168	146	148	0	1	25	1	main	22	30
74	4	0	125	149	148	0	0	25	0	main	22	30
74	4	0	166	143	148	0	1	25	0	main	22	30
74	4	0	108	143	84	1	0	25	0	main	22	30
74	4	0	72	139	84	0	1	25	0	main	22	30
74	4	0	88	75	84	0	1	25	0	main	22	30
74	4	0	96	75	84	0	1	25	0	main	22	30
74	4	0	86	82	84	0	1	25	0	main	22	30
74	4	0	101	82	84	0	0	25	0	main	22	30
74	4	0	203	86	215	1	1	25	0	main	22	30
74	4	0	190	204	215	0	1	25	0	main	22	30
74	4	0	194	204	215	0	0	25	0	main	22	30
74	4	0	214	202	215	0	0	25	0	main	22	30
74	4	0	226	202	215	0	1	25	0	main	22	30
74	4	0	233	204	215	0	1	25	0	main	22	30
74	4	0	221	209	215	0	1	25	0	main	22	30
74	4	0	243	209	215	0	1	25	0	main	22	30
74	4	0	229	215	216	1	1	25	0	main	22	30
74	4	0	202	215	216	0	0	25	0	main	22	30
74	4	0	194	214	216	0	1	25	0	main	22	30
74	4	0	280	213	280	1	0	25	0	main	22	30
74	4	0	275	263	280	0	0	25	0	main	22	30
74	4	0	294	263	280	0	1	25	0	main	22	30
74	4	0	252	267	280	0	1	25	0	main	22	30
74	4	0	232	265	280	0	1	25	0	main	22	30
74	4	0	189	263	222	1	0	25	0	main	22	30
74	4	0	236	202	222	0	0	25	0	main	22	30
74	4	0	203	206	222	0	0	25	0	main	22	30
74	4	0	122	206	103	1	1	25	0	main	22	30
74	4	0	61	114	103	0	1	25	0	main	22	30
74	4	0	67	57	103	0	1	25	0	main	22	30
74	4	0	127	57	103	0	1	25	0	main	22	30
74	4	0	98	96	103	0	0	25	1	main	22	30
74	4	0	129	96	103	0	1	25	0	main	22	30
74	4	0	113	103	103	0	1	25	0	main	22	30
74	4	0	225	103	173	1	0	25	0	main	22	30
74	4	0	182	228	173	0	1	25	0	main	22	30
74	4	0	194	198	173	0	0	25	0	main	22	30
74	4	0	186	186	173	0	0	25	1	main	22	30
74	4	0	146	186	173	0	1	25	0	main	22	30
74	4	0	181	164	173	0	1	25	0	main	22	30
74	4	0	167	164	173	0	1	25	0	main	22	30
74	4	0	182	164	173	0	0	25	0	main	22	30
74	4	0	175	164	173	0	1	25	0	main	22	30
74	4	0	148	164	173	0	1	25	1	main	22	30
74	4	0	202	164	173	0	0	25	0	main	22	30
74	4	0	134	167	173	0	0	25	0	main	22	30
74	4	0	185	167	173	0	0	25	0	main	22	30
74	4	0	147	167	173	0	0	25	0	main	22	30
74	4	0	185	167	173	0	0	25	0	main	22	30
74	4	0	55	167	95	1	0	25	0	main	22	30
74	4	0	78	49	95	0	0	25	0	main	22	30
74	4	0	75	49	95	0	1	25	0	main	22	30
74	4	0	66	49	95	0	0	25	0	main	22	30
