subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	cond
97	4	1	270	150	260	0	1	10	0	main
97	4	0	260	212	260	0	1	10	0	main
97	4	0	251	228	260	0	1	10	0	main
97	4	0	45	233	32	1	0	10	0	main
97	4	0	56	69	32	0	1	10	0	main
97	4	0	30	62	32	0	0	10	0	main
97	4	0	37	48	32	0	0	10	0	main
97	4	0	31	49	32	0	0	10	0	main
97	4	0	34	39	32	0	0	10	0	main
97	4	0	27	40	32	0	1	10	0	main
97	4	0	40	30	32	0	0	10	0	main
97	4	0	48	33	32	0	0	10	0	main
97	4	0	26	40	32	0	0	10	0	main
97	4	0	28	38	32	0	1	10	0	main
97	4	0	29	37	32	0	1	10	0	main
97	4	0	31	35	32	0	1	10	0	main
97	4	0	37	36	32	0	1	10	0	main
97	4	0	229	30	225	1	1	10	1	main
97	4	0	228	226	225	0	0	10	0	main
97	4	0	209	232	225	0	1	10	0	main
97	4	0	53	220	41	1	1	10	0	main
97	4	0	48	56	41	0	0	10	0	main
97	4	0	45	30	41	0	1	10	1	main
97	4	0	51	32	41	0	1	10	1	main
97	4	0	27	34	41	0	0	10	0	main
97	4	0	249	33	257	1	1	10	0	main
97	4	0	255	231	257	0	1	10	0	main
97	4	0	262	245	257	0	0	10	0	main
97	4	0	248	254	257	0	0	10	0	main
97	4	0	255	253	257	0	1	10	0	main
97	4	0	266	252	257	0	0	10	0	main
97	4	0	244	261	257	0	1	10	0	main
97	4	0	147	257	152	1	0	10	1	main
97	4	0	155	157	152	0	0	10	0	main
97	4	0	161	156	152	0	0	10	0	main
97	4	0	231	157	224	1	1	10	0	main
97	4	0	206	221	224	0	0	10	0	main
97	4	0	230	219	224	0	0	10	0	main
97	4	0	220	229	224	0	1	10	0	main
97	4	0	224	227	224	0	0	10	0	main
97	4	0	233	226	224	0	1	10	0	main
97	4	0	221	235	224	0	0	10	0	main
97	4	0	230	232	224	0	1	10	0	main
97	4	0	59	231	63	1	0	10	0	main
97	4	0	70	49	63	0	0	10	1	main
97	4	0	48	53	63	0	1	10	0	main
97	4	0	55	46	63	0	0	10	0	main
97	4	0	69	48	63	0	0	10	0	main
97	4	0	55	64	63	0	1	10	0	main
97	4	0	64	55	63	0	0	10	0	main
97	4	0	54	58	63	0	1	10	0	main
97	4	0	55	58	63	0	1	10	0	main
97	4	0	66	57	63	0	1	10	0	main
