participant_id	age	sex	age_group
sub-01	9	female	1
sub-02	10	female	1
sub-03	8	female	1
sub-04	9	male	1
sub-05	10	male	1
sub-06	9	male	1
sub-07	10	female	1
sub-08	10	male	1
sub-09	7	male	1
sub-10	9	male	1
sub-11	8	male	1
sub-12	8	male	1
sub-13	8	female	1
sub-14	10	male	1
sub-15	8	male	1
sub-16	8	male	1
sub-17	10	female	1
sub-18	9	female	1
sub-19	9	female	1
sub-20	10	male	1
sub-21	8	male	1
sub-22	8	male	1
sub-23	11	male	1
sub-24	10	female	1
sub-25	8	male	1
sub-26	9	male	1
sub-27	9	male	1
sub-28	10	male	1
sub-29	10	female	1
sub-30	8	female	1
sub-31	11	female	1
sub-32	24	female	3
sub-33	21	male	3
sub-34	27	male	3
sub-35	25	male	3
sub-36	20	female	3
sub-37	28	male	3
sub-38	27	female	3
sub-39	27	female	3
sub-40	25	male	3
sub-41	21	male	3
sub-42	24	female	3
sub-43	26	male	3
sub-44	23	female	3
sub-45	20	female	3
sub-46	20	female	3
sub-47	24	female	3
sub-48	23	female	3
sub-49	27	female	3
sub-50	23	female	3
sub-51	25	female	3
sub-52	21	female	3
sub-53	21	male	3
sub-54	21	female	3
sub-55	27	female	3
sub-56	22	male	3
sub-57	62	male	4
sub-58	74	male	4
sub-59	75	female	4
sub-60	61	male	4
sub-61	66	male	4
sub-62	65	female	4
sub-63	67	female	4
sub-64	66	male	4
sub-65	65	female	4
sub-66	75	female	4
sub-67	62	female	4
sub-68	75	female	4
sub-69	67	female	4
sub-70	68	female	4
sub-71	62	female	4
sub-72	68	female	4
sub-73	68	female	4
sub-74	63	female	4
sub-75	74	male	4
sub-76	65	female	4
sub-77	65	female	4
sub-78	66	male	4
sub-79	74	female	4
sub-80	67	female	4
sub-81	76	male	4
sub-82	66	female	4
sub-83	67	male	4
sub-84	70	female	4
sub-85	65	female	4
sub-86	63	female	4
sub-87	75	female	4
sub-88	75	female	4
sub-89	72	female	4
sub-90	63	female	4
