subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
58	4	1	74	150	80	0	1	17.5	0	150	main_noPush	17	32	NaN	2.98001145001035
58	4	0	99	120	80	0	0.25	17.5	0	150	main_noPush	17	32	1.72487423801795	3.29646045202389
58	4	0	69	115	80	0	0.25	17.5	0	120	main_noPush	17	32	1.0038241680013	3.90357508801389
58	4	0	62	89.5	80	0	0.25	17.5	0	115	main_noPush	17	32	3.51663195597939	6.38330086495262
58	4	0	118	73	80	0	0.25	17.5	0	89.5	main_noPush	17	32	0.948366454977077	2.20810796500882
58	4	0	86	106	80	0	0.25	17.5	0	73	main_noPush	17	32	0.233968529035337	1.16671637800755
58	4	0	61	100	80	0	0.25	17.5	0	106	main_noPush	17	32	1.45528883504448	2.51950852200389
58	4	0	76	70	80	0	1	17.5	0	100	main_noPush	17	32	0.211837425013073	1.23937859199941
58	4	0	260	70	283	1	0.25	17.5	0	70	main_noPush	17	32	NaN	1.49885381100466
58	4	0	300	245.5	283	0	0.25	17.5	0	70	main_noPush	17	32	0.16449230001308	3.00762730400311
58	4	0	287	286	283	0	0.25	17.5	0	245.5	main_noPush	17	32	0.393980733992066	1.47130591497989
58	4	0	290	286	283	0	0.25	17.5	0	286	main_noPush	17	32	NaN	0.85202221601503
58	4	0	293	286	283	0	1	17.5	0	286	main_noPush	17	32	NaN	0.899042239005212
58	4	0	276	286	283	0	1	17.5	0	286	main_noPush	17	32	NaN	0.650214219989721
58	4	0	283	275.5	283	0	0.25	17.5	0	286	main_noPush	17	32	0.53618562099291	1.42408447101479
58	4	0	263	275.5	283	0	1	17.5	0	275.5	main_noPush	17	32	NaN	0.516304043005221
58	4	0	249	275.5	283	0	0.25	17.5	0	275.5	main_noPush	17	32	NaN	0.720288978947792
58	4	0	278	257.5	283	0	0.25	17.5	0	275.5	main_noPush	17	32	0.442690397961996	1.12566856096964
