subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond
63	4	1	13	150	24	0	1	17.5	0	150	main_noPush
63	4	0	45	21	24	0	0.25	17.5	0	150	main_noPush
63	4	0	30	34.5	24	0	1	17.5	0	21	main_noPush
63	4	0	30	34.5	24	0	1	17.5	0	34.5	main_noPush
63	4	0	24	34.5	24	0	0.25	17.5	0	34.5	main_noPush
63	4	0	37	34.5	41	1	0.25	17.5	0	34.5	main_noPush
63	4	0	34	34.5	41	0	1	17.5	0	34.5	main_noPush
63	4	0	29	34.5	41	0	1	17.5	0	34.5	main_noPush
63	4	0	47	34.5	41	0	1	17.5	0	34.5	main_noPush
63	4	0	122	42	141	1	0.25	17.5	0	34.5	main_noPush
63	4	0	132	42	141	0	0.25	17.5	0	42	main_noPush
63	4	0	110	129	141	0	1	17.5	0	42	main_noPush
63	4	0	150	123.5	141	0	1	17.5	0	129	main_noPush
63	4	0	143	134	141	0	1	17.5	0	123.5	main_noPush
63	4	0	139	134	141	0	0.25	17.5	0	134	main_noPush
63	4	0	127	134	112	1	0.25	17.5	0	134	main_noPush
63	4	0	96	130	112	0	1	17.5	0	134	main_noPush
63	4	0	86	109	112	0	0.25	17.5	0	130	main_noPush
63	4	0	132	95.5	112	0	1	17.5	0	109	main_noPush
63	4	0	272	110.5	255	1	0.25	17.5	0	95.5	main_noPush
63	4	0	254	110.5	255	0	0.25	17.5	0	110.5	main_noPush
63	4	0	251	269.5	255	0	1	17.5	0	110.5	main_noPush
63	4	0	244	269.5	255	0	1	17.5	0	269.5	main_noPush
63	4	0	256	256	272	1	1	17.5	0	269.5	main_noPush
63	4	0	277	256	272	0	1	17.5	0	256	main_noPush
63	4	0	268	263.5	272	0	0.25	17.5	0	256	main_noPush
63	4	0	274	263.5	272	0	0.25	17.5	0	263.5	main_noPush
63	4	0	284	263.5	272	0	0.25	17.5	1	263.5	main_noPush
63	4	0	255	272.5	272	0	0.25	17.5	0	263.5	main_noPush
63	4	0	284	269.5	272	0	0.25	17.5	0	272.5	main_noPush
63	4	0	271	269.5	272	0	0.25	17.5	0	269.5	main_noPush
63	4	0	294	269.5	272	0	1	17.5	0	269.5	main_noPush
63	4	0	192	275.5	207	1	0.25	17.5	0	269.5	main_noPush
63	4	0	232	194.5	207	0	0.25	17.5	0	275.5	main_noPush
63	4	0	211	209.5	207	0	0.25	17.5	0	194.5	main_noPush
63	4	0	214	209.5	207	0	0.25	17.5	1	209.5	main_noPush
63	4	0	219	209.5	207	0	0.25	17.5	0	209.5	main_noPush
63	4	0	189	209.5	207	0	0.25	17.5	1	209.5	main_noPush
63	4	0	201	203.5	207	0	0.25	17.5	1	209.5	main_noPush
63	4	0	203	203.5	207	0	1	17.5	0	203.5	main_noPush
63	4	0	184	203.5	207	0	1	17.5	0	203.5	main_noPush
63	4	0	220	188.5	207	0	1	17.5	0	203.5	main_noPush
63	4	0	162	196	207	0	1	17.5	0	188.5	main_noPush
63	4	0	25	185.5	16	1	0.25	17.5	0	196	main_noPush
63	4	0	32	28	16	0	0.25	17.5	0	185.5	main_noPush
63	4	0	5	28	16	0	1	17.5	0	28	main_noPush
63	4	0	19	16	16	0	0.25	17.5	0	28	main_noPush
63	4	0	31	16	16	0	0.25	17.5	0	16	main_noPush
63	4	0	30	22	16	0	1	17.5	0	16	main_noPush
63	4	0	28	22	16	0	0.25	17.5	0	22	main_noPush
63	4	0	37	22	16	0	1	17.5	0	22	main_noPush
63	4	0	48	22	16	0	1	17.5	0	22	main_noPush
63	4	0	5	34	16	0	1	17.5	0	22	main_noPush
63	4	0	23	20.5	16	0	0.25	17.5	0	34	main_noPush
63	4	0	27	20.5	16	0	0.25	17.5	0	20.5	main_noPush
63	4	0	5	20.5	16	0	1	17.5	0	20.5	main_noPush
63	4	0	43	11.5	16	0	1	17.5	0	20.5	main_noPush
63	4	0	38	19	16	0	1	17.5	0	11.5	main_noPush
63	4	0	41	19	16	0	1	17.5	0	19	main_noPush
63	4	0	18	23.5	16	0	1	17.5	0	19	main_noPush
63	4	0	27	23.5	16	0	0.25	17.5	0	23.5	main_noPush
63	4	0	117	23.5	105	1	0.25	17.5	0	23.5	main_noPush
63	4	0	97	112	105	0	1	17.5	0	23.5	main_noPush
63	4	0	76	112	105	0	0.25	17.5	0	112	main_noPush
63	4	0	222	95.5	239	1	1	17.5	0	112	main_noPush
63	4	0	243	220	239	0	0.25	17.5	0	95.5	main_noPush
63	4	0	221	229	239	0	0.25	17.5	0	220	main_noPush
63	4	0	242	229	239	0	0.25	17.5	0	229	main_noPush
63	4	0	238	229	239	0	1	17.5	0	229	main_noPush
63	4	0	101	229	120	1	0.25	17.5	0	229	main_noPush
63	4	0	114	112	120	0	0.25	17.5	0	229	main_noPush
63	4	0	74	112	120	0	1	17.5	0	112	main_noPush
63	4	0	135	94	120	0	1	17.5	0	112	main_noPush
63	4	0	95	113.5	120	0	0.25	17.5	0	94	main_noPush
63	4	0	112	103	120	0	1	17.5	0	113.5	main_noPush
63	4	0	124	103	120	0	0.25	17.5	0	103	main_noPush
63	4	0	150	110.5	120	0	0.25	17.5	0	103	main_noPush
63	4	0	131	136	120	0	0.25	17.5	0	110.5	main_noPush
63	4	0	245	136	238	1	0.25	17.5	0	136	main_noPush
63	4	0	246	244	238	0	1	17.5	0	136	main_noPush
63	4	0	219	244	238	0	1	17.5	0	244	main_noPush
63	4	0	225	229	238	0	1	17.5	0	244	main_noPush
63	4	0	266	238	238	0	0.25	17.5	1	229	main_noPush
63	4	0	244	254.5	238	0	1	17.5	0	238	main_noPush
63	4	0	243	254.5	238	0	0.25	17.5	0	254.5	main_noPush
63	4	0	240	248.5	238	0	1	17.5	0	254.5	main_noPush
63	4	0	250	259	238	0	0.25	17.5	0	248.5	main_noPush
63	4	0	254	250	238	0	0.25	17.5	1	259	main_noPush
63	4	0	217	250	238	0	0.25	17.5	0	250	main_noPush
63	4	0	217	221.5	238	0	1	17.5	0	250	main_noPush
63	4	0	227	221.5	238	0	0.25	17.5	0	221.5	main_noPush
63	4	0	251	221.5	238	0	1	17.5	0	221.5	main_noPush
63	4	0	158	233.5	186	1	1	17.5	0	221.5	main_noPush
63	4	0	193	160	186	0	1	17.5	0	233.5	main_noPush
63	4	0	202	184	186	0	0.25	17.5	1	160	main_noPush
63	4	0	187	193	186	0	0.25	17.5	0	184	main_noPush
63	4	0	184	193	186	0	1	17.5	0	193	main_noPush
63	4	0	174	193	186	0	0.25	17.5	0	193	main_noPush
63	4	0	176	178	186	0	0.25	17.5	0	193	main_noPush
63	4	0	209	178	215	1	1	17.5	0	178	main_noPush
63	4	1	28	150	50	0	1	17.5	0	150	main_noPush
63	4	0	24	27	50	0	0.25	17.5	0	150	main_noPush
63	4	0	39	27	50	0	1	17.5	0	27	main_noPush
63	4	0	55	39	50	0	1	17.5	1	27	main_noPush
63	4	0	35	49.5	50	0	0.25	17.5	0	39	main_noPush
63	4	0	16	43.5	50	0	0.25	17.5	1	49.5	main_noPush
63	4	0	71	43.5	50	0	0.25	17.5	0	43.5	main_noPush
63	4	0	51	60	50	0	0.25	17.5	0	43.5	main_noPush
63	4	0	78	60	50	0	0.25	17.5	0	60	main_noPush
63	4	0	53	67.5	36	1	0.25	17.5	0	60	main_noPush
63	4	0	15	67.5	36	0	1	17.5	0	67.5	main_noPush
63	4	0	16	16.5	36	0	0.25	17.5	0	67.5	main_noPush
63	4	0	39	16.5	36	0	0.25	17.5	1	16.5	main_noPush
63	4	0	31	30	36	0	0.25	17.5	0	16.5	main_noPush
63	4	0	41	30	36	0	0.25	17.5	0	30	main_noPush
63	4	0	45	36	36	0	1	17.5	1	30	main_noPush
63	4	0	176	36	190	1	1	17.5	0	36	main_noPush
63	4	0	170	187.5	190	0	0.25	17.5	1	36	main_noPush
63	4	0	175	180	190	0	0.25	17.5	0	187.5	main_noPush
63	4	0	188	180	190	0	1	17.5	0	180	main_noPush
63	4	0	189	180	190	0	1	17.5	0	180	main_noPush
63	4	0	185	180	190	0	0.25	17.5	0	180	main_noPush
63	4	0	175	180	190	0	0.25	17.5	0	180	main_noPush
63	4	0	159	180	190	0	1	17.5	0	180	main_noPush
63	4	0	280	168	281	1	1	17.5	0	180	main_noPush
63	4	0	251	279	281	0	0.25	17.5	0	168	main_noPush
63	4	0	270	270	281	0	1	17.5	1	279	main_noPush
63	4	0	185	270	169	1	0.25	17.5	0	270	main_noPush
63	4	0	173	186	169	0	1	17.5	0	270	main_noPush
63	4	0	183	186	169	0	0.25	17.5	0	186	main_noPush
63	4	0	182	186	195	1	1	17.5	0	186	main_noPush
63	4	0	204	186	195	0	0.25	17.5	0	186	main_noPush
63	4	0	195	193.5	195	0	0.25	17.5	0	186	main_noPush
63	4	0	184	193.5	195	0	0.25	17.5	0	193.5	main_noPush
63	4	0	190	192	195	0	0.25	17.5	0	193.5	main_noPush
63	4	0	185	192	195	0	1	17.5	0	192	main_noPush
63	4	0	170	192	195	0	0.25	17.5	0	192	main_noPush
63	4	0	181	184.5	195	0	1	17.5	0	192	main_noPush
63	4	0	201	184.5	195	0	0.25	17.5	1	184.5	main_noPush
63	4	0	189	189	195	0	1	17.5	0	184.5	main_noPush
63	4	0	191	189	195	0	1	17.5	0	189	main_noPush
63	4	0	223	189	195	0	0.25	17.5	0	189	main_noPush
63	4	0	178	216	195	0	1	17.5	0	189	main_noPush
