participant_id	age	sex	age_group
sub_1	36	male	3
sub_2	32	male	3
sub_3	29	female	3
sub_4	26	female	3
sub_5	23	female	3
sub_6	38	male	3
sub_7	34	female	3
sub_8	25	male	3
sub_9	36	female	3
sub_10	22	male	3
sub_11	34	female	3
sub_12	24	female	3
sub_13	37	male	3
sub_14	38	male	3
sub_15	18	male	3
sub_16	25	female	3
sub_17	29	male	3
sub_18	38	male	3
sub_19	36	female	3
sub_20	29	male	3
sub_21	30	male	3
sub_22	33	female	3
sub_23	35	female	3
sub_24	40	male	3
sub_25	29	female	3
sub_26	40	male	3
sub_27	24	female	3
sub_28	34	female	3
sub_29	32	female	3
sub_30	35	male	3
sub_31	38	female	3
sub_32	31	female	3
sub_33	33	male	3
sub_34	34	male	3
sub_35	24	female	3
sub_36	21	male	3
sub_37	39	female	3
sub_38	35	male	3
sub_39	26	female	3
sub_40	33	female	3
sub_41	28	female	3
sub_42	29	female	3
sub_43	32	female	3
sub_44	19	male	3
sub_45	22	male	3
sub_46	31	male	3
sub_47	39	female	3
sub_48	31	male	3
sub_49	39	female	3
sub_50	34	male	3
sub_51	29	male	3
sub_52	22	male	3
sub_53	39	male	3
sub_54	22	female	3
sub_55	22	male	3
sub_56	31	male	3
sub_57	37	male	3
sub_58	26	male	3
sub_59	27	male	3
sub_60	26	male	3
sub_61	39	female	3
sub_62	32	male	3
sub_63	28	male	3
sub_64	29	female	3
sub_65	32	male	3
sub_66	34	female	3
sub_67	36	female	3
sub_68	39	female	3
sub_69	27	male	3
sub_70	18	female	3
sub_71	27	female	3
sub_72	33	male	3
sub_73	35	male	3
sub_74	26	female	3
sub_75	32	male	3
sub_76	30	female	3
sub_77	38	female	3
sub_78	29	female	3
sub_79	33	female	3
sub_80	26	male	3
sub_81	26	female	3
sub_82	37	female	3
sub_83	26	male	3
sub_84	31	female	3
sub_85	28	female	3
sub_86	23	female	3
sub_87	25	male	3
sub_88	37	male	3
sub_89	32	male	3
sub_90	39	female	3
sub_91	37	female	3
sub_92	32	female	3
sub_93	24	female	3
sub_94	24	female	3
