subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	z_t	cond	trial
60	3	1.0	177	150.0	168.0	1.0	0.0	15	150.0	stable_low	0
60	3	0.0	195	171.00000000000006	168.0	0.0	0.0	15	150.0	stable_low	1
60	3	0.0	192	177.00000000000006	168.0	0.0	0.0	15	171.00000000000006	stable_low	2
60	3	0.0	192	180.00000000000006	168.0	0.0	0.0	15	177.00000000000006	stable_low	3
60	3	0.0	150	180.00000000000006	156.0	1.0	0.0	15	180.00000000000006	stable_low	4
60	3	0.0	171	177.00000000000006	156.0	0.0	0.01	15	180.00000000000006	stable_low	5
60	3	0.0	150	177.00000000000006	156.0	0.0	0.01	15	177.00000000000006	stable_low	6
60	3	0.0	150	174.00000000000006	156.0	0.0	0.01	15	177.00000000000006	stable_low	7
60	3	0.0	168	168.00000000000006	156.0	0.0	0.02	15	174.00000000000006	stable_low	8
60	3	0.0	150	171.00000000000006	162.0	1.0	0.02	15	168.00000000000006	stable_low	9
60	3	0.0	168	168.00000000000006	162.0	0.0	0.03	15	171.00000000000006	stable_low	10
60	3	0.0	147	168.00000000000006	162.0	0.0	0.03	15	168.00000000000006	stable_low	11
60	3	0.0	174	168.00000000000006	162.0	0.0	0.04	15	168.00000000000006	stable_low	12
60	3	0.0	159	168.00000000000006	162.0	0.0	0.05	15	168.00000000000006	stable_low	13
60	3	0.0	144	168.00000000000006	162.0	0.0	0.05	15	168.00000000000006	stable_low	14
60	3	0.0	111	168.00000000000006	162.0	0.0	0.05	15	168.00000000000006	stable_low	15
60	3	0.0	156	168.00000000000006	162.0	0.0	0.06	15	168.00000000000006	stable_low	16
60	3	0.0	192	168.00000000000006	162.0	0.0	0.06	15	168.00000000000006	stable_low	17
60	3	0.0	141	174.00000000000006	162.0	0.0	0.06	15	168.00000000000006	stable_low	18
60	3	0.0	129	168.00000000000006	162.0	0.0	0.06	15	174.00000000000006	stable_low	19
60	3	0.0	171	162.00000000000006	162.0	0.0	0.06	15	168.00000000000006	stable_low	20
60	3	0.0	159	165.00000000000006	162.0	0.0	0.07	15	162.00000000000006	stable_low	21
60	3	0.0	141	165.00000000000006	162.0	0.0	0.07	15	165.00000000000006	stable_low	22
60	3	0.0	192	165.00000000000006	162.0	0.0	0.07	15	165.00000000000006	stable_low	23
60	3	0.0	141	165.00000000000006	162.0	0.0	0.07	15	165.00000000000006	stable_low	24
60	3	0.0	174	165.00000000000006	162.0	0.0	0.07	15	165.00000000000006	stable_low	25
60	3	0.0	177	165.00000000000006	162.0	0.0	0.07	15	165.00000000000006	stable_low	26
60	3	0.0	153	165.00000000000006	162.0	0.0	0.08	15	165.00000000000006	stable_low	27
60	3	0.0	162	168.00000000000006	162.0	0.0	0.09	15	165.00000000000006	stable_low	28
60	3	0.0	189	168.00000000000006	162.0	0.0	0.09	15	168.00000000000006	stable_low	29
60	3	0.0	174	168.00000000000006	162.0	0.0	0.1	15	168.00000000000006	stable_low	30
60	3	0.0	156	168.00000000000006	162.0	0.0	0.11	15	168.00000000000006	stable_low	31
60	3	0.0	180	168.00000000000006	162.0	0.0	0.11	15	168.00000000000006	stable_low	32
60	3	0.0	162	168.00000000000006	162.0	0.0	0.12	15	168.00000000000006	stable_low	33
60	3	0.0	192	168.00000000000006	162.0	0.0	0.12	15	168.00000000000006	stable_low	34
60	3	0.0	168	168.00000000000006	162.0	0.0	0.13	15	168.00000000000006	stable_low	35
60	3	0.0	174	165.00000000000006	162.0	0.0	0.13	15	168.00000000000006	stable_low	36
60	3	0.0	204	168.00000000000006	162.0	0.0	0.13	15	165.00000000000006	stable_low	37
60	3	0.0	156	168.00000000000006	162.0	0.0	0.14	15	168.00000000000006	stable_low	38
60	3	0.0	153	168.00000000000006	162.0	0.0	0.14	15	168.00000000000006	stable_low	39
60	3	0.0	153	168.00000000000006	162.0	0.0	0.14	15	168.00000000000006	stable_low	40
60	3	0.0	174	168.00000000000006	162.0	0.0	0.15	15	168.00000000000006	stable_low	41
60	3	0.0	177	168.00000000000006	162.0	0.0	0.15	15	168.00000000000006	stable_low	42
60	3	0.0	132	168.00000000000006	162.0	0.0	0.15	15	168.00000000000006	stable_low	43
60	3	0.0	165	168.00000000000006	162.0	0.0	0.16	15	168.00000000000006	stable_low	44
